min_cells,celltype,metric,control_n,IgAN_n,control_median,IgAN_median,delta_IgAN_minus_control,mann_whitney_exact_p,cliffs_delta_IgAN_vs_control,FDR_within_threshold_celltype
10,Podocyte,Fibrosis,2,0,0.021000489592552185,,,,,
10,Podocyte,Inflammatory_chemotaxis,2,0,0.17613257467746735,,,,,
10,Podocyte,Complement,2,0,0.0,,,,,
10,Podocyte,Endothelial_activation,2,0,0.002972617745399475,,,,,
10,Podocyte,Tubular_injury,2,0,0.2106110006570816,,,,,
10,Proximal_tubular,RIPS_UCell,6,11,0.05330156907439232,0.0476607084274292,-0.0056408606469631195,0.5248868778280543,-0.21212121212121213,1.0
10,Proximal_tubular,Fibrosis,6,11,0.0,0.0,0.0,0.732546864899806,0.13636363636363635,1.0
10,Proximal_tubular,Inflammatory_chemotaxis,6,11,0.024699091911315918,0.0,-0.024699091911315918,0.5248868778280543,-0.22727272727272727,1.0
10,Proximal_tubular,Complement,6,11,0.0,0.0,0.0,1.0,0.0,1.0
10,Proximal_tubular,Endothelial_activation,6,11,0.0,0.0,0.0,1.0,0.0,1.0
10,Proximal_tubular,Tubular_injury,6,11,0.18488799035549164,0.15538281202316284,-0.029505178332328796,0.2160633484162896,-0.3939393939393939,1.0
25,Cycling_stress,RIPS_UCell,0,2,,0.09092694520950317,,,,
25,Cycling_stress,Fibrosis,0,2,,0.0018597543239593506,,,,
25,Cycling_stress,Inflammatory_chemotaxis,0,2,,0.15193498134613037,,,,
25,Cycling_stress,Complement,0,2,,0.0,,,,
25,Cycling_stress,Endothelial_activation,0,2,,0.0,,,,
25,Cycling_stress,Tubular_injury,0,2,,0.2661735415458679,,,,
25,Distal_collecting,RIPS_UCell,1,3,0.04115680605173111,0.03582413122057915,-0.005332674831151962,1.0,-0.3333333333333333,1.0
25,Distal_collecting,Fibrosis,1,3,0.0,0.0,0.0,1.0,0.0,1.0
25,Distal_collecting,Inflammatory_chemotaxis,1,3,0.0,0.05867600440979004,0.05867600440979004,0.5,1.0,1.0
25,Distal_collecting,Complement,1,3,0.0,0.0,0.0,1.0,0.0,1.0
25,Distal_collecting,Endothelial_activation,1,3,0.0,0.0,0.0,1.0,0.0,1.0
25,Distal_collecting,Tubular_injury,1,3,0.17268472909927368,0.12412238121032715,-0.04856234788894653,1.0,-0.3333333333333333,1.0
25,Endothelial,RIPS_UCell,2,0,0.1192721426486969,,,,,
25,Endothelial,Fibrosis,2,0,0.0753510594367981,,,,,
25,Endothelial,Inflammatory_chemotaxis,2,0,0.08784687519073486,,,,,
25,Endothelial,Complement,2,0,0.0,,,,,
25,Endothelial,Endothelial_activation,2,0,0.12247829139232635,,,,,
25,Endothelial,Tubular_injury,2,0,0.2433968484401703,,,,,
25,Macrophage_monocyte,RIPS_UCell,4,1,0.20394256711006165,0.19637830555438995,-0.007564261555671692,1.0,0.0,1.0
25,Macrophage_monocyte,Fibrosis,4,1,0.0,0.0,0.0,1.0,-0.25,1.0
25,Macrophage_monocyte,Inflammatory_chemotaxis,4,1,0.352495014667511,0.3467068076133728,-0.005788207054138184,1.0,0.0,1.0
25,Macrophage_monocyte,Complement,4,1,0.3430226147174835,0.13331103324890137,-0.20971158146858215,0.8,-0.5,1.0
25,Macrophage_monocyte,Endothelial_activation,4,1,0.0051436275243759155,0.05718100070953369,0.052037373185157776,0.8,0.5,1.0
25,Macrophage_monocyte,Tubular_injury,4,1,0.39581242203712463,0.33943498134613037,-0.05637744069099426,0.4,-1.0,1.0
25,Podocyte,RIPS_UCell,1,0,0.11421764642000198,,,,,
25,Podocyte,Fibrosis,1,0,0.04200097918510437,,,,,
25,Podocyte,Inflammatory_chemotaxis,1,0,0.2284771203994751,,,,,
