strategy,gene,median_IgAN,median_IgAVN,median_difference_IgAN_minus_IgAVN,raw_p,cliffs_delta_IgAN_vs_IgAVN,FDR_within_strategy,predefined_focus_gene
raw_log2,IL22,2.0,2.321928094887362,-0.3219280948873622,0.26767676767676774,-0.42857142857142855,0.37586021881633896,False
raw_log2,KIR_Activating_Subgroup_2,2.0,2.321928094887362,-0.3219280948873622,0.20202020202020204,-0.5142857142857142,0.3190345008526827,False
raw_log2,IL12RB1,4.0,4.087462841250339,-0.0874628412503391,0.7550505050505051,-0.17142857142857143,0.8256667393358041,False
raw_log2,SMAD5,6.20945336562895,8.727920454563199,-2.5184670889342486,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,CD48,5.357552004618084,5.643856189774724,-0.2863041851566406,1.0,-0.02857142857142857,1.0,False
raw_log2,CD19,3.9068905956085187,2.584962500721156,1.3219280948873626,0.3434343434343435,0.4,0.45791245791245794,False
raw_log2,LTA,3.0,3.4594316186372973,-0.4594316186372973,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,TRAF2,5.554588851677638,7.515699838284043,-1.9611109866064051,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,FCGR2A/C,7.247927513443585,8.413627929024173,-1.165700415580588,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,CD96,6.108524456778169,4.954196310386875,1.1543281463912942,0.638888888888889,0.2,0.7329140461215933,False
raw_log2,GZMA,5.357552004618084,5.954196310386875,-0.5966443057687911,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,TFRC,6.129283016944966,8.98299357469431,-2.853710557749344,0.010101010101010102,-0.8857142857142857,0.14329966329966332,False
raw_log2,CD44,8.59245703726808,9.672425341971495,-1.0799683047034154,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,MASP2,2.0,2.321928094887362,-0.3219280948873622,0.638888888888889,-0.22857142857142856,0.7329140461215933,False
raw_log2,MASP1,5.087462841250339,7.22881869049588,-2.1413558492455413,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,ILF3,8.405141463136344,10.904634621668151,-2.4994931585318074,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,ZBTB16,5.614709844115208,9.939579214314692,-4.324869370199484,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,PTPN6,6.303780748177103,7.888743248898259,-1.584962500721156,0.26767676767676774,-0.42857142857142855,0.37586021881633896,False
raw_log2,C14orf166,7.948367231584678,10.615629636968098,-2.66726240538342,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,C1QB,7.219168520462161,8.614709844115207,-1.3955413236530463,0.26767676767676774,-0.42857142857142855,0.37586021881633896,False
raw_log2,CD99,8.954196310386875,10.981567281903015,-2.02737097151614,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,ICOS,2.807354922057604,3.584962500721156,-0.7776075786635519,0.3434343434343435,-0.4,0.45791245791245794,False
raw_log2,C5,4.807354922057604,7.285402218862249,-2.478047296804645,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,MCL1,8.442943495848729,10.733015321685963,-2.2900718258372343,0.01767676767676768,-0.8571428571428571,0.14329966329966332,False
raw_log2,TLR9,4.247927513443585,4.321928094887363,-0.07400058144377741,0.7550505050505051,-0.14285714285714285,0.8256667393358041,False
raw_log2,LILRA6,3.0,2.807354922057604,0.19264507794239583,0.7550505050505051,-0.14285714285714285,0.8256667393358041,False
